Роль сотрудника;ФИО;Логин;Пароль
Администратор;Савицкая Арина Саввична;1y3lj8w0viop@outlook.com;2L6KZG
Администратор;Мартынов Максим Михайлович;3o698uk5c0rw@tutanota.com;uzWC67
Администратор;Зубов Александр Дамирович;lx24fvrt1aip@yahoo.com;8ntwUp
Менеджер;Попов Даниил Олегович;s8z076vku95j@gmail.com;YOyhfR
Менеджер;Семенов Михаил Никитич;n3bxm7f2q5i4@outlook.com;RSbvHv
Менеджер;Дмитриева Надежда Вячеславовна;r7dztn8a5ihq@mail.com;rwVDh9
Клиент;Воронцова Виктория Саввична;vofgck2m39hq@gmail.com;LdNyos
Клиент;Софронов Ярослав Игоревич;s6q9tevybado@yahoo.com;gynQMT
Клиент;Егоров Артём Евгеньевич;p7wuls3dtq9v@yahoo.com;AtnDjr
Клиент;Ситникова Эмилия Степановна;rdn04s1u2ckb@mail.com;JlFRCZ
